cluster,domain_center_lat,domain_center_lon,city,country,lat,lon,operating_300km,new_300km,wishlist,notes,include,C40 comment,analyse results,range,GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,adm_level,city_short,city_no,runName
35,10.8230989,106.6296638,Ho Chi Minh City,Vietnam,10.8230989,106.6296638,8087,5600,Y,NA,Y,NA,Y,0,VNM,Vietnam,VNM.25_1,Ho Chi Minh,VNM.25.22_1,T????n B????nh,VNM.25.22.7_1,Ward 15,1,HoChiMinhCity,42,HoChiMinhCit
36,1.352083,103.819836,Singapore,Singapore,1.352083,103.819836,8065,800,Y,NA,Y,NA,Y,0,SGP,Singapore,SGP.3_1,North,NA,NA,NA,NA,0,Singapore,43,Singapore
37,23.810332,90.4125181,Dhaka,Bangladesh,23.810332,90.4125181,7130,17704,Y,NA,Y,NA,Y,0,BGD,Bangladesh,BGD.3_1,Dhaka,BGD.3.1_1,Dhaka,BGD.3.1.5_1,Cantonment,1,Dhaka,44,Dhaka
38,14.6760413,121.0437003,Quezon City,Philippines,14.6760413,121.0437003,6509,4141,Y,NA,Y,NA,Y,0,PHL,Philippines,PHL.47_1,Metropolitan Manila,PHL.47.14_1,Quezon City,PHL.47.14.127_1,Tandang Sora,2,QuezonCity,45,QuezonCity
39,29.9510658,-90.0715323,New Orleans,United States,29.9510658,-90.0715323,5142.8,0,Y,NA,Y,NA,Y,0,USA,United States,USA.19_1,Louisiana,USA.19.36_1,Orleans,NA,NA,2,NewOrleans,46,NewOrleans
40,32.01962465,35.3462013,Tel Aviv,Israel,32.0852999,34.7817676,4930,0,N,NA,Y,NA,Y,107.6369677,ISR,Israel,ISR.7_1,Tel Aviv,NA,NA,NA,NA,1,TelAviv,47,TelAviv
40,32.01962465,35.3462013,Amman,Jordan,31.9539494,35.910635,4930,0,N,NA,Y,NA,Y,107.6369677,JOR,Jordan,JOR.2_1,Amman,JOR.2.7_1,Wadi Essier,NA,NA,1,Amman,48,TelAviv
41,-37.8136276,144.9630576,Melbourne,Australia,-37.8136276,144.9630576,4721,1320,Y,NA,Y,NA,Y,0,AUS,Australia,AUS.10_1,Victoria,AUS.10.44_1,Melbourne,NA,NA,2,Melbourne,49,Melbourne
42,13.7563309,100.5017651,Bangkok,Thailand,13.7563309,100.5017651,3478,600,Y,NA,Y,NA,Y,0,THA,Thailand,THA.3_1,Bangkok Metropolis,THA.3.33_1,Phra Nakhon,THA.3.33.1_1,NA,1,Bangkok,50,Bangkok
43,24.8607343,67.0011364,Karachi,Pakistan,24.8607343,67.0011364,3450,3300,Y,NA,Y,NA,Y,0,PAK,Pakistan,PAK.8_1,Sind,PAK.8.2_1,Karachi,PAK.8.2.3_1,Karachi South,2,Karachi,51,Karachi
44,45.4408474,12.3155151,Venice,Italy,45.4408474,12.3155151,3341,0,Y,NA,Y,NA,Y,0,ITA,Italy,ITA.20_1,Veneto,ITA.20.5_1,Venezia,ITA.20.5.43_1,Venezia,2,Venice,52,Venice
45,55.755826,37.6172999,Moscow,Russia,55.755826,37.6172999,3170,335,N,NA,Y,NA,Y,0,RUS,Russia,RUS.43_1,Moscow City,RUS.43.1_1,Central,RUS.43.1.7_1,117,2,Moscow,53,Moscow
46,41.9027835,12.4963655,Rome,Italy,41.9027835,12.4963655,2130,0,Y,NA,Y,NA,Y,0,ITA,Italy,ITA.8_1,Lazio,ITA.8.4_1,Roma,ITA.8.4.97_1,Roma,2,Rome,54,Rome
48,5.4793131,-74.81895365,Medellin,Colombia,6.2476376,-75.5658153,1024.5,300,Y,impact likely to be small,Y,NA,Y,237.2195896,COL,Colombia,COL.2_1,Antioquia,COL.2.68_1,Medell????n,NA,NA,2,Medellin,55,Colombia
48,5.4793131,-74.81895365,Bogota,Colombia,4.7109886,-74.072092,587.5,0,Y,NA,Y,NA,Y,237.2195896,COL,Colombia,COL.14_1,Cundinamarca,COL.14.79_1,Santaf???? de Bogot????,NA,NA,2,Bogota,56,Colombia
49,37.9838096,23.7275388,Athens,Greece,37.9838096,23.7275388,350,0,Y,expect significant long-range impact from Turkey + North Greece,Y,NA,Y,0,GRC,Greece,GRC.3_1,Attica,GRC.3.1_1,Attica,GRC.3.1.12_1,Athens,2,Athens,57,Athens
51,18,-102.1,Ciudad de Mexico,Mexico,19.4326077,-99.133208,0,0,N,NA,Y,NA,Y,461.5269172,MEX,Mexico,MEX.9_1,Distrito Federal,MEX.9.2_1,Azcapotzalco,NA,NA,1,CiudaddeMexico,58,CiudaddeMexi
51,18,-102.1,Guadalajara,Mexico,20.6596988,-103.3496092,0,0,N,set up a Mexico domain,Y,NA,Y,461.5269172,MEX,Mexico,MEX.14_1,Jalisco,MEX.14.43_1,Guadalajara,NA,NA,2,Guadalajara,59,CiudaddeMexi
52,28.4,-100.8,Nava,Mexico,28.4,-100.8,NA,NA,NA,NA,Y,NA,NA,0,MEX,Mexico,MEX.7_1,Coahuila,MEX.7.3_1,Allende,NA,NA,1,Nava,60,Nava
53,19.076,72.8777,Mumbai,India,19.076,72.8777,NA,NA,NA,NA,Y,NA,NA,0,IND,India,IND.20_1,Maharashtra,IND.20.18_1,Mumbai Suburban,IND.20.18.5_1,n.a. ( 1569),2,Mumbai,61,Mumbai
54,26.16,-80.85,Miami,United States,26.16,-80.85,NA,NA,NA,NA,Y,NA,NA,0,USA,United States,USA.10_1,Florida,USA.10.43_1,Miami-Dade,NA,NA,2,Miami,62,Miami
55,42.358333,-71.058333,New York City,United States,40.7127753,-74.0059728,NA,NA,NA,NA,NA,NA,NA,NA,USA,United States,USA.33_1,New York,USA.33.32_1,New York,NA,NA,2,NewYorkCity,NA,Boston
55,42.358333,-71.058333,Boston,United States,42.3600825,-71.0588801,NA,NA,NA,NA,NA,NA,NA,NA,USA,United States,USA.22_1,Massachusetts,USA.22.13_1,Suffolk,NA,NA,2,Boston,NA,Boston
